ind,id0,id1,clid,chid,size0,size1,x0,x1,y0,y1,t0,t1,op,no_SL
0,2,4,4,0,28,49,179514.125777,179224.210283,2498755.01542,2498717.93415,200.0,270.0,0.92940398898,42
1,0,2,2,0,34,28,179032.414032,179514.125777,2499030.37546,2498755.01542,195.0,231.0,0.635414339484,34
2,0,4,4,0,34,49,179032.414032,179224.210283,2499030.37546,2498717.93415,195.0,270.0,0.446827314576,34
3,0,3,3,0,34,2,179032.414032,179091.660338,2499030.37546,2498631.35561,195.0,212.0,0.426874875441,2
4,4,7,7,0,49,8,179224.210283,179141.11332,2498717.93415,2499096.908,226.0,256.0,0.381123003647,14
5,2,7,7,0,28,8,179514.125777,179141.11332,2498755.01542,2499096.908,200.0,256.0,0.49698322647,5
6,3,4,4,0,2,49,179091.660338,179224.210283,2498631.35561,2498717.93415,212.0,270.0,0.474976351226,6
7,7,8,8,0,8,2,179141.11332,179205.629361,2499096.908,2499151.2851,251.0,276.0,0.158376580956,2
