ind,id0,id1,clid,chid,size0,size1,x0,x1,y0,y1,t0,t1,op,no_SL
0,13,18,18,3,31,8,179811.402136,179377.076393,2502434.12754,2502075.98645,199.0,223.0,0.8952592894,10
1,10,12,12,2,4,23,181443.704942,181444.454837,2500144.65092,2500074.80073,180.0,206.0,0.870185526117,48
2,13,28,28,3,31,2,179811.402136,180458.159642,2502434.12754,2502686.86642,199.0,235.0,0.441486139995,2
3,15,22,22,5,3,3,180823.029877,180607.969874,2500013.54212,2499673.82002,204.0,231.0,0.949649148227,3
4,6,9,9,1,2,3,178196.420893,178175.263462,2514143.05042,2514122.11004,146.0,166.0,0.642097615354,3
5,14,19,19,4,7,3,180821.28528,180689.287388,2500494.87856,2500602.88802,200.0,217.0,0.337235943875,7
6,3,7,7,0,4,4,177701.425807,177782.860869,2513631.84668,2513690.70501,134.0,151.0,0.599557362145,3
